domain,db_name,db_host,nid,platform_path
reefichno.myspecies.info,reefichnomyspe_0,157.140.2.171,4815.0,/var/aegir/platforms/scratchpads-2.10.1
salamandersofchina.myspecies.info,salamandersofc_0,157.140.2.171,1872.0,/var/aegir/platforms/scratchpads-2.10.1
plantea.myspecies.info,planteamyspeci_0,157.140.2.171,3965.0,/var/aegir/platforms/scratchpads-2.10.1
coleopteraofgibraltar.myspecies.info,coleopteraofgibr,157.140.2.164,6228.0,/var/aegir/platforms/scratchpads-2.10.1
dombeya.myspecies.info,dombeyamyspecies,157.140.2.164,3397.0,/var/aegir/platforms/scratchpads-2.10.1
hundrednewlichens.myspecies.info,hundrednewlichen,157.140.2.164,2387.0,/var/aegir/platforms/scratchpads-2.10.1
apoidea.myspecies.info,apoideamyspecies,157.140.2.171,2403.0,/var/aegir/platforms/scratchpads-2.10.1
bermudalichens.myspecies.info,bermudalichensmy,157.140.2.153,1380.0,/var/aegir/platforms/scratchpads-2.10.1
sesbania.myspecies.info,sesbaniamyspec_0,157.140.2.153,4591.0,/var/aegir/platforms/scratchpads-2.10.1
papilionoidea.myspecies.info,papilionoideamys,157.140.2.153,3561.0,/var/aegir/platforms/scratchpads-2.10.1
www.cicadina.eu,cicadinaeu_0,157.140.2.153,1404.0,/var/aegir/platforms/scratchpads-2.10.1
potamogetonaceae.e-monocot.org,potamogetonace_1,157.140.2.171,1496.0,/var/aegir/platforms/scratchpads-2.10.1
natchazingiberaceae.myspecies.info,natchazingiberac,157.140.2.171,3737.0,/var/aegir/platforms/scratchpads-2.10.1
waspweb.myspecies.info,waspwebmyspecies,157.140.2.171,31068.0,/var/aegir/platforms/scratchpads-2.10.1
cyathodiaceae.myspecies.info,cyathodiaceaemys,157.140.2.164,2761.0,/var/aegir/platforms/scratchpads-2.10.1
macroalgasuy.myspecies.info,macroalgasuymy_0,157.140.2.164,13315.0,/var/aegir/platforms/scratchpads-2.10.1
pistiaistyoryhma.myspecies.info,pistiaistyory_13,157.140.2.164,1812.0,/var/aegir/platforms/scratchpads-2.10.1
neogenebryozoans.myspecies.info,neogenebryozoans,157.140.2.153,3925.0,/var/aegir/platforms/scratchpads-2.10.1
fegeco.myspecies.info,fegecomyspeciesi,157.140.2.153,1460.0,/var/aegir/platforms/scratchpads-2.10.1
scleractinia.myspecies.info,scleractiniamy_0,157.140.2.171,4931.0,/var/aegir/platforms/scratchpads-2.10.1
horseshoecrabs.myspecies.info,horseshoecrabsmy,157.140.2.164,4755.0,/var/aegir/platforms/scratchpads-2.10.1
bebol.myspecies.info,bebolmyspeciesin,157.140.2.171,2909.0,/var/aegir/platforms/scratchpads-2.10.1
e-m-b.org,emborg,157.140.2.153,2035.0,/var/aegir/platforms/scratchpads-2.10.1
mushrooms.myspecies.info,mushroomsmyspe_0,157.140.2.164,4346.0,/var/aegir/platforms/scratchpads-2.10.1
leucospis.myspecies.info,leucospismyspeci,157.140.2.164,1972.0,/var/aegir/platforms/scratchpads-2.10.1
crabgrass.myspecies.info,crabgrassmyspeci,157.140.2.153,1416.0,/var/aegir/platforms/scratchpads-2.10.1
digitalspiders.myspecies.info,digitalspidersmy,157.140.2.164,3241.0,/var/aegir/platforms/scratchpads-2.10.1
families.e-monocot.org,familiesemonocot,157.140.2.153,3185.0,/var/aegir/platforms/scratchpads-2.10.1
kasan03.myspecies.info,kasan03myspecies,157.140.2.164,3817.0,/var/aegir/platforms/scratchpads-2.10.1
cyberbraconid.myspecies.info,cyberbraconidm_0,157.140.2.171,16632.0,/var/aegir/platforms/scratchpads-2.10.1
pselaphinae-bg.myspecies.info,pselaphinaebgm_0,157.140.2.153,3913.0,/var/aegir/platforms/scratchpads-2.10.1
eucolcomp.myspecies.info,eucolcompmyspeci,157.140.2.171,1143.0,/var/aegir/platforms/scratchpads-2.10.1
inoceramusatlas.myspecies.info,inoceramusatlasm,157.140.2.153,43212.0,/var/aegir/platforms/scratchpads-2.10.1
atyaephyra.myspecies.info,atyaephyramyspec,157.140.2.153,2693.0,/var/aegir/platforms/scratchpads-2.10.1
thaihomegarden.myspecies.info,thaihomegarden_0,157.140.2.171,1316.0,/var/aegir/platforms/scratchpads-2.10.1
bembidion.info,bembidioninfo,157.140.2.171,3709.0,/var/aegir/platforms/scratchpads-2.10.1
worms.myspecies.info,wormsmyspecies_0,157.140.2.164,1312.0,/var/aegir/platforms/scratchpads-2.10.1
